file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/Application.java,com.jabaddon.practices.Application,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,class,1,1,0,1,3,2,0,1,0,0.33333334,0.6666667,1.0,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,0,0,3,13,1,0,0,0,0,0,0,2,0,2,0,0,0,0,14,17,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,class,1,1,0,1,4,2,0,2,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,1,0,1,13,1,0,0,0,0,0,0,2,0,2,0,0,0,0,13,17,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Service.java,com.jabaddon.practices.pna.sealedclasses.Service,class,1,3,2,1,3,1,2,0,1,0.875,0.0,0.0,2,0,2,0,0,0,3,0,0,0,2,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,1,0,4,0,0,0,0,11,0,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,class,4,4,0,4,1,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,7,6,4,3,4,0,0,0,0,13,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/innerpackage/OtherService.java,com.jabaddon.practices.pna.sealedclasses.innerpackage.OtherService,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,class,2,4,2,2,4,2,0,3,0,0.44444445,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,3,0,0,3,0,0,1,0,0,15,1,0,0,0,0,0,0,3,0,3,1,0,0,0,16,17,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,class,1,1,0,1,4,1,0,2,0,0.5,0.5,1.0,4,0,2,0,0,2,4,0,0,0,3,0,0,3,0,0,0,0,1,17,1,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,class,1,1,0,1,6,1,0,4,0,0.5,0.5,1.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,1,0,2,18,2,0,0,0,0,0,0,3,0,3,1,0,0,0,14,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Service.java,com.jabaddon.practices.pna.polymorhic_solution.Service,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,class,3,3,0,3,1,1,0,14,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,7,6,4,3,4,0,0,0,0,13,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,class,2,4,2,2,6,1,0,5,2,0.6,0.33333334,0.5,5,0,3,1,0,1,4,0,0,0,4,0,0,4,0,0,2,0,1,22,2,0,0,0,0,0,0,4,0,4,1,0,0,0,20,1,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/singleresponsibility/UserProfile.java,com.jabaddon.practices.singleresponsibility.UserProfile,class,0,0,0,0,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,11,1,0,0,0,0,1,0,2,0,2,0,0,0,0,10,1,0
