file,class,method,variable,usage
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,confirmService/1[java.time.Instant],confirmedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,completeService/1[java.time.Instant],completedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,isCompletedAndConfirmed/0,completedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,isCompletedAndConfirmed/0,confirmedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,isDurationCoversAgreedHours/0,endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,isDurationCoversAgreedHours/0,agreedHours,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,endService/1[java.time.Instant],endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,Babysitting/1[int],agreedHours,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Service.java,com.jabaddon.practices.pna.sealedclasses.Service,performService/1[java.time.Instant],startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,isAllAgreedRoomsCleaned/0,agreedRooms,1
