file,class,method,variable,usage
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/Application.java,com.jabaddon.practices.Application,main/1[java.lang.String[]],args,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,confirmService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Plumbing.java,com.jabaddon.practices.pna.sealedclasses.Plumbing,completeService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,endService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Babysitting.java,com.jabaddon.practices.pna.sealedclasses.Babysitting,Babysitting/1[int],agreedHours,2
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Service.java,com.jabaddon.practices.pna.sealedclasses.Service,performService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,main/1[java.lang.String[]],args,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,main/1[java.lang.String[]],roomCleaning,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,main/1[java.lang.String[]],babysitting,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,main/1[java.lang.String[]],now,8
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/Main.java,com.jabaddon.practices.pna.sealedclasses.Main,main/1[java.lang.String[]],plumbing,4
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,RoomCleaning/1[java.util.Set<java.lang.String>],agreedRooms,2
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",roomName,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,performService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,completeService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,confirmService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,performService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,Babysitting/1[int],agreedHours,2
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,endService/1[java.time.Instant],time,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Service.java,com.jabaddon.practices.pna.polymorhic_solution.Service,performService/1[java.time.Instant],time,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,main/1[java.lang.String[]],args,0
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,main/1[java.lang.String[]],roomCleaning,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,main/1[java.lang.String[]],babysitting,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,main/1[java.lang.String[]],now,8
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Main.java,com.jabaddon.practices.pna.polymorhic_solution.Main,main/1[java.lang.String[]],plumbing,4
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,RoomCleaning/1[java.util.Set<java.lang.String>],agreedRooms,2
